"Date","iBtn_ID","Sensor_type","Plot_type","avg_daily_temp"
"7/19/2021","X1","Water surface","Aquatic forb",20.0833333333333
"7/19/2021","X10","Sediment","Aquatic forb",8.83333333333333
"7/19/2021","X101","Sediment","Lake",15.6666666666667
"7/19/2021","X103","Water surface","Thick moss",20.5
"7/19/2021","X105","Above moss","Thick moss",20.8333333333333
"7/19/2021","X108","Sediment","Thick moss",7.16666666666667
"7/19/2021","X110","Water surface","Aquatic forb",20.4166666666667
"7/19/2021","X111","Above moss","Aquatic forb",20.4166666666667
"7/19/2021","X112","Sediment","Aquatic forb",14.5
"7/19/2021","X117","Water surface","Shallow moss",20.3333333333333
"7/19/2021","X119","Above moss","Shallow moss",19.8333333333333
"7/19/2021","X120","Sediment","Shallow moss",8.66666666666667
"7/19/2021","X122","Water surface","Bare",20.4166666666667
"7/19/2021","X125","Above moss","Bare",20.3333333333333
"7/19/2021","X126","Sediment","Bare",18.0833333333333
"7/19/2021","X127","Water surface","Aquatic forb",19.8333333333333
"7/19/2021","X129","Above moss","Aquatic forb",20.4166666666667
"7/19/2021","X130","Sediment","Aquatic forb",15.6666666666667
"7/19/2021","X134","Water surface","Thick moss",19.8333333333333
"7/19/2021","X135","Above moss","Thick moss",19.75
"7/19/2021","X136","Sediment","Thick moss",5.33333333333333
"7/19/2021","X138","Water surface","Bare",19.5833333333333
"7/19/2021","X14","Above moss","Aquatic forb",20.0833333333333
"7/19/2021","X141","Above moss","Bare",NA
"7/19/2021","X142","Sediment","Bare",13.5833333333333
"7/19/2021","X144","Water surface","Aquatic forb",20.6666666666667
"7/19/2021","X145","Above moss","Aquatic forb",20.1666666666667
"7/19/2021","X146","Sediment","Aquatic forb",12.5
"7/19/2021","X147","Water surface","Shallow moss",19.9166666666667
"7/19/2021","X149","Above moss","Shallow moss",19.6666666666667
"7/19/2021","X152","Sediment","Shallow moss",9.08333333333333
"7/19/2021","X153","Water surface","Bare",20.1666666666667
"7/19/2021","X155","Above moss","Bare",20
"7/19/2021","X157","Sediment","Bare",12.4166666666667
"7/19/2021","X158","Water surface","Aquatic forb",20.0833333333333
"7/19/2021","X160","Above moss","Aquatic forb",20.25
"7/19/2021","X161","Sediment","Aquatic forb",7.91666666666667
"7/19/2021","X163","Water surface","Thick moss",20.4166666666667
"7/19/2021","X165","Above moss","Thick moss",19.5
"7/19/2021","X166","Sediment","Thick moss",12.25
