Date,Time,1,2,4,5,6,9,10,14,19,20,21,22,23,24,25,27,28,29,30,32,34,35,37,38,39,41,42,46,47,48,50,52,53,57,58,59,60,64,65,66,67,69,70,72,74,75,76,77,79,80,82,83,85,86,90,91,95,96,101,103,105,108,110,111,112,117,119,120,122,125,126,127,129,130,134,135,136,138,141,142,144,145,146,147,149,152,153,155,157,158,160,161,163,165,166,167,168,169,170,172,173,174,175,176,177,180,181,182,184,185,186,187,188,190,192,194,195,196,198,199
2021-07-19, 6:00:00 PM,20.5,20.5,13,21.5,21.5,8.5,8.5,21,21,20,17.5,8.5,19.5,17,5,20.5,18.5,9,20.5,19.5,15.5,21,18.5,11.5,20.5,17.5,10.5,20.5,21,14,21,21,13,21.5,19.5,16,20,19,12.5,20.5,19.5,16,20.5,20.5,10,21,21,16.5,21,17.5,12.5,20,19,9.5,20,19.5,13.5,16,16,22.5,22.5,7,21,21,14.5,21,20,8.5,21,21,18,20.5,21,16,21,21,5,20.5,,14.5,22.5,21,12,21,20,8.5,21,21,12,21,21.5,7.5,22.5,20,12,21.5,22,12,21.5,21.5,7,21,21.5,15,23,11.5,21,21,11,20.5,20.5,15.5,22,22,7.5,20.5,15,11.5,19.5,21
2021-07-19, 7:00:00 PM,20.5,20.5,13.5,21,21.5,8.5,8.5,21,20.5,20,17.5,8.5,19.5,17,5,20.5,18.5,9,20.5,19.5,15.5,20.5,19,11.5,20.5,17.5,10.5,20.5,21,14.5,20.5,21,13.5,21,20.5,16.5,20,19.5,12.5,20.5,19.5,16.5,20.5,20.5,10,20.5,20.5,16.5,21,17.5,13,19.5,19.5,9.5,19.5,19.5,13,16,16,22,22,7,21,21,14.5,21,20.5,8.5,21,21,18,20.5,21,16,20.5,20.5,5,20.5,,14,22,21,12,20.5,20,9,21,20.5,12,21,21,8,21.5,20,12,21,21.5,12.5,21,21,7,20.5,21,15,22,12,20.5,20.5,11.5,20.5,20.5,15.5,21.5,21,8,20,15,11.5,18.5,18.5
2021-07-19, 8:00:00 PM,20,20,13.5,20.5,20.5,8.5,9,20,20,19.5,17.5,8.5,19,17,5,20,18.5,9,20,19.5,15,20,18.5,11.5,20,17.5,11,20,20.5,15,20,20.5,13.5,20,20.5,16,19.5,19.5,12.5,20,19.5,16,20,20.5,10.5,20,20,16.5,20.5,17,13,19,19,9.5,19,19,12.5,16,15.5,20.5,21,7,20.5,20.5,14.5,20.5,20,8.5,20.5,20.5,18,20,20.5,15.5,20,20,5.5,19.5,,13.5,20.5,20.5,12.5,20,20,9,20.5,20,12.5,20,20.5,8,20.5,20,12,20,20.5,12.5,20.5,20.5,7,20,20.5,15.5,21,12,20,20,11.5,20,20,15,20.5,20,8,19.5,15,11.5,19,20
2021-07-19, 9:00:00 PM,20,20,13.5,20,20.5,8.5,9,20,20,19.5,17.5,9,19,17,5.5,19.5,18,9.5,19.5,19.5,15,19.5,18.5,12,19.5,17.5,11,19.5,20,15,19.5,20,14,20,19.5,16,19.5,19.5,13,20,19.5,16,19.5,20,10.5,20,19.5,16.5,20,17,13,19,19,9.5,19,19,12.5,16,15.5,20,20.5,7,20.5,20.5,14.5,20,20,8.5,20.5,20,18,19.5,20.5,15.5,19.5,19.5,5.5,19.5,,13.5,20.5,20,12.5,19.5,19.5,9,20,20,12.5,20,20,8,20,19.5,12.5,19.5,20,12.5,20,20,7,19.5,20,15.5,20.5,12.5,19.5,20,12,19.5,20,15,20,20,8,19.5,14.5,11.5,19.5,19.5
2021-07-19, 10:00:00 PM,20,19.5,14,19.5,19.5,8.5,9,19.5,19.5,19,17.5,9,18.5,16.5,5.5,19.5,18,9.5,19.5,19,14.5,19.5,18,12,19.5,17.5,11,19.5,20,15,19,19.5,14,19.5,19.5,15.5,19,19.5,12.5,19.5,19,15.5,19.5,19.5,10.5,19.5,19.5,16.5,19.5,17,13,18.5,18.5,9.5,18.5,18.5,12.5,16,15.5,19.5,20,7.5,20,20,14.5,20,19.5,9,20,20,18,19.5,20,15.5,19.5,19,5.5,19,,13,19.5,19.5,13,19.5,19.5,9.5,19.5,19.5,12.5,19.5,19.5,8,19.5,19,12.5,19,19,13,19.5,19.5,7,19,19.5,15.5,20,12.5,19.5,19.5,12,19,19.5,15,19.5,19.5,8,19,14.5,11.5,19,20
2021-07-19, 11:00:00 PM,19.5,19,14,19,19,8.5,9,19,19,18.5,17,9,18.5,16.5,5.5,19,18,9.5,19,18.5,14.5,19,18,12,19,17.5,11,19,19.5,15,18.5,19,14,19,19,15.5,18.5,19,12.5,19,19,15,19,19,11,19,19,16,19,16.5,13,18,18.5,9.5,18.5,18,12,16,15.5,18.5,19,7.5,19.5,19.5,14.5,19.5,19,9,19.5,19.5,18.5,19,19.5,15.5,18.5,18.5,5.5,18.5,,13,19,19,13,19,19,9.5,19,19,13,19,19,8,18.5,18.5,12.5,18,18.5,13,19,19,7,18.5,19,15.5,19,12.5,19,19,12,18.5,19,15,19,18.5,8,18.5,14.5,11.5,18,18.5
2021-07-20, 12:00:00 AM,19,18.5,14,18.5,18.5,9,9.5,19,18.5,18,17,9,18,16,5.5,18.5,17.5,9.5,18.5,18,14,18,17.5,12,18.5,17.5,11,18.5,19,15,18,18.5,14,18.5,18.5,15,18.5,18.5,12.5,18.5,18.5,15,18.5,18.5,11,18.5,18.5,16,18.5,16.5,12.5,18,18,9.5,18,17.5,12,16,15,18,18.5,7.5,18.5,19,14,19,18.5,9,19,19,18.5,18.5,19,15,18,18,5.5,18,,12.5,18.5,18,13,18.5,18.5,9.5,18.5,18.5,13,18.5,18.5,8.5,17.5,18,12.5,17.5,17.5,13,18.5,18.5,7.5,18,18.5,16,18.5,12.5,18.5,18.5,12,18,18.5,14.5,18.5,18,8.5,18,14,11.5,16.5,16.5
2021-07-20, 1:00:00 AM,18.5,18,14,17.5,18,9,9.5,18.5,18,17.5,16.5,9,17.5,16,5.5,18,17.5,9.5,18,17.5,14,17.5,17,12,18,17.5,11,18,18.5,15,17.5,18,14,18,18,15,17.5,18,12.5,18,18,14.5,18,18,11,18,18,15.5,18,16,12.5,17.5,17.5,9.5,17.5,17,11.5,15.5,15,17,17.5,7.5,18,18.5,14,18.5,18,9,18.5,18.5,18,18,18.5,15,17.5,17.5,5.5,17.5,,12.5,17.5,17.5,13,18,18,9.5,18,18,13,17.5,18,8.5,17,17.5,12.5,16.5,17,13,18,18,7.5,17,18,17,18,12.5,17.5,18,12,17.5,17.5,14.5,17.5,17,8.5,17.5,14,11,15,15
2021-07-20, 2:00:00 AM,18,17.5,13.5,17,17,9,9.5,18,17.5,17,16.5,9,17,16,5.5,17.5,17,9.5,17.5,17.5,14,17,16.5,12,17.5,17.5,11,17.5,18,14.5,17,17,14,17,17.5,14.5,17,17.5,12.5,17.5,17.5,14.5,17.5,17.5,11,17.5,17.5,15.5,17.5,16,12.5,17,17,9.5,17,16.5,11.5,15.5,14.5,16.5,17,7.5,18,18,14,18,17.5,9,18,18,17.5,17.5,18,15,17,17,5.5,17,,12,17,17,13,17.5,17.5,9.5,17.5,17.5,12.5,17,17.5,8.5,16,16.5,12.5,16,16,13,17.5,17,7.5,16.5,17.5,16.5,17.5,12.5,17,17,12,17,17,14.5,17,16.5,8.5,17,14,11,14,14
2021-07-20, 3:00:00 AM,17.5,17,13.5,16.5,16.5,9,9.5,17.5,17,16.5,16,9,17,15.5,5.5,17,16.5,9.5,17.5,17,13.5,16.5,16.5,12,17,17,11,17,17.5,14.5,16.5,16.5,13.5,16.5,17,14.5,17,17,12.5,17.5,17,14,17,17,11,17,17,15.5,17,16,12.5,16.5,16.5,9.5,16.5,16.5,11.5,15.5,14.5,16,16.5,7.5,17.5,17.5,14,17.5,17,9.5,17.5,17.5,17,17,17.5,14.5,16.5,16,6,16.5,,12,16.5,16,13,17,17,9.5,17,17,12.5,17,17,8.5,15.5,16,12.5,15.5,15.5,12.5,17,17,7.5,16,17,15.5,17,12.5,16.5,16.5,12,16.5,16.5,14,16.5,16,8.5,16.5,13.5,11,14,13.5
2021-07-20, 4:00:00 AM,17.5,17,13.5,16,16.5,9,9.5,17,17,16,16,9,16.5,15.5,5.5,17,16.5,9.5,17,16.5,13.5,16,16,12,17,16.5,11,16.5,17.5,14.5,16,16,13.5,16.5,16.5,14.5,16.5,17,12.5,17,17,14,16.5,16.5,11,16.5,16.5,15,16.5,16,12.5,16,16,9.5,16,16,11.5,15.5,14.5,15.5,16,8,17,17,13.5,17,17,9.5,17,17,16.5,16.5,17,14.5,16,16,6,16,,12,16,16,13,16.5,16.5,10,16.5,16.5,12.5,16.5,16.5,8.5,15,15.5,12.5,14.5,15,12.5,16.5,16.5,7.5,15.5,16.5,15.5,16.5,12.5,16.5,16.5,12,16.5,16,14,16,15.5,8.5,16,13.5,11,14,13.5
2021-07-20, 5:00:00 AM,17,16.5,13.5,16,16,9,9.5,17,16.5,15.5,15.5,9,16.5,15.5,5.5,16.5,16,9.5,16.5,16,13.5,16,15.5,11.5,16.5,16.5,11,16.5,17,14,15.5,16,13.5,16,16,14,16,16.5,12,16.5,16.5,14,16,16.5,11,16,16,15,16.5,15.5,12,16,16,9.5,16,15.5,11,15.5,14.5,15,15.5,8,17,16.5,13.5,16.5,16.5,9.5,17,16.5,16.5,16.5,17,14.5,16,15.5,6,16,,12,15.5,15.5,12.5,16,16,9.5,16.5,16,12.5,16,16.5,8.5,14.5,15,12,14.5,14.5,12.5,16,16,7.5,15.5,16,15,16,12.5,16,16,12,16,16,14,15.5,15,8.5,15.5,13.5,11,15,14.5
