Site,Borehole ID,Date,Coring instance,Microrelief,Borehole depth (cm),Water depth (cm),Thaw depth (cm),Permafrost table (cm),Depth to massive ice (cm),Massive ice type,"Frozen protective layer (PL1, PL2) (cm)",Intermediate layer (PL3) (cm),"Initial ice wedge classification, 2014-16","Ice wedge classification, 2020",Included in change analysis,Notes,,,,,,,,,,,,,,,,,,
Colleen,T1-10T-2,8/6/2010,Original,T,95,0,56,56,61,WI,5,5,UD,NA,Y,,,,,,,,,,,,,,,,,,,
Colleen,T1-10T-2/20,8/17/2016,Redrilled,T,63,5,53,56,62,WI,9,6,UD,SI2,Y,IL-PD. Some degradation and then stabilization,,,,,,,,,,,,,,,,,,
Colleen,T1-50T-1,8/6/2010,Original,T,118,0,56,65,73,WI,18,5,UD,NA,N,,,,,,,,,,,,,,,,,,,
Colleen,T1-50T-1/20,8/17/2016,Not redrilled,T,NA,0,57,NA,NA,NA,NA,NA,UD,NA,N,"Did not drill. Looks stable, not big changes",,,,,,,,,,,,,,,,,,
Colleen,T1-10T-3,8/6/2010,Original,T,151,NA,NA,NA,No wedge,NA,NA,NA,UD,NA,N,,,,,,,,,,,,,,,,,,,
Colleen,T1-50T-1,8/6/2010,Original,T,118,NA,55,65,73,WI,18,8,UD,NA,N,,,,,,,,,,,,,,,,,,,
Colleen,T1-50T-1/20,8/17/2016,Not redrilled,T,NA,NA,57,NA,NA,NA,NA,NA,UD,NA,N,"Did not redrill; Looks stable, no big changes",,,,,,,,,,,,,,,,,,
Colleen,T1-5T-1,8/6/2010,Original,T,98,0,51,60,60,WI,9,0,D1,NA,Y,,,,,,,,,,,,,,,,,,,
Colleen,T1-5T-1/20,8/17/2016,Redrilled,T,87,0,58,72,85,WI,27,13,D1,SI1,Y,,,,,,,,,,,,,,,,,,,
Colleen,T1-10T-1,8/6/2010,Original,T,90,1,58,58,58,WI,0,0,D1,NA,Y,,,,,,,,,,,,,,,,,,,
Colleen,T1-10T-1/20,8/17/2016,Redrilled,T,80,5,48,61,63,NA,15,2,D1,Sl2,Y,IL-PD. Some degradation and then stabilization,,,,,,,,,,,,,,,,,,
Colleen,T1-25T-2,8/12/2010,Original,T,97,NA,40,43,43,WI,3,0,D1,NA,N,,,,,,,,,,,,,,,,,,,
Colleen,T1-25T-3,8/12/2010,Original,T,102,NA,NA,NA,No wedge,NA,NA,NA,D1,NA,N,,,,,,,,,,,,,,,,,,,
Colleen,T1-25T-4,8/12/2010,Original,T,120,NA,48,49,49,WI,1,0,D1,NA,N,,,,,,,,,,,,,,,,,,,
Colleen,T1-100T-1,8/6/2010,Original,T,75,0,44,45,45,WI,1,0,D1,NA,Y,,,,,,,,,,,,,,,,,,,
Colleen,T1-100T-1/20,8/17/2016,Redrilled,T,63,32,50,50,50,WI,0,0,D1,D2,Y,,,,,,,,,,,,,,,,,,,
Colleen,T1-25T-1,8/5/2010,Original,T,75,15,45,47,47,WI,2,0,D2,NA,Y,,,,,,,,,,,,,,,,,,,
Colleen,T1-25T-1/20,8/17/2016,Redrilled,T,62,15,40,49,49,WI,9,0,D2,D2 or SI2,Y,"Probably some stabilization, still vulnerable",,,,,,,,,,,,,,,,,,
Colleen,T1-50T-7,8/13/2010,Original,T,81,30,43,43,43,WI,0,0,D2,NA,Y,,,,,,,,,,,,,,,,,,,
