"Mission","AGCID","Date","Time","TempC"
2021,"T08",2021-07-31,1899-12-31,11.451
2021,"T08",2021-07-31,1899-12-31 04:00:00,9.449
2021,"T08",2021-07-31,1899-12-31 08:00:00,11.951
2021,"T08",2021-07-31,1899-12-31 12:00:00,20.455
2021,"T08",2021-07-31,1899-12-31 16:00:00,18.454
2021,"T08",2021-07-31,1899-12-31 20:00:00,18.454
2021,"T08",2021-08-01,1899-12-31,15.953
2021,"T08",2021-08-01,1899-12-31 04:00:00,11.951
2021,"T08",2021-08-01,1899-12-31 08:00:00,13.452
2021,"T08",2021-08-01,1899-12-31 12:00:00,19.954
2021,"T08",2021-08-01,1899-12-31 16:00:00,17.954
2021,"T08",2021-08-01,1899-12-31 20:00:00,15.453
2021,"T08",2021-08-02,1899-12-31,12.451
2021,"T08",2021-08-02,1899-12-31 04:00:00,11.451
2021,"T08",2021-08-02,1899-12-31 08:00:00,10.95
2021,"T08",2021-08-02,1899-12-31 12:00:00,11.451
2021,"T08",2021-08-02,1899-12-31 16:00:00,12.451
2021,"T08",2021-08-02,1899-12-31 20:00:00,10.95
2021,"T08",2021-08-03,1899-12-31,7.948
2021,"T08",2021-08-03,1899-12-31 04:00:00,6.447
2021,"T08",2021-08-03,1899-12-31 08:00:00,6.948
2021,"T08",2021-08-03,1899-12-31 12:00:00,9.95
2021,"T08",2021-08-03,1899-12-31 16:00:00,17.454
2021,"T08",2021-08-03,1899-12-31 20:00:00,10.45
2021,"T08",2021-08-04,1899-12-31,6.447
2021,"T08",2021-08-04,1899-12-31 04:00:00,6.948
2021,"T08",2021-08-04,1899-12-31 08:00:00,8.449
2021,"T08",2021-08-04,1899-12-31 12:00:00,10.95
2021,"T08",2021-08-04,1899-12-31 16:00:00,18.454
2021,"T08",2021-08-04,1899-12-31 20:00:00,10.95
2021,"T08",2021-08-05,1899-12-31,8.449
2021,"T08",2021-08-05,1899-12-31 04:00:00,6.447
2021,"T08",2021-08-05,1899-12-31 08:00:00,8.449
2021,"T08",2021-08-05,1899-12-31 12:00:00,6.948
2021,"T08",2021-08-05,1899-12-31 16:00:00,6.447
2021,"T08",2021-08-05,1899-12-31 20:00:00,3.945
2021,"T08",2021-08-06,1899-12-31,1.943
2021,"T08",2021-08-06,1899-12-31 04:00:00,1.442
2021,"T08",2021-08-06,1899-12-31 08:00:00,3.945
2021,"T08",2021-08-06,1899-12-31 12:00:00,6.948
2021,"T08",2021-08-06,1899-12-31 16:00:00,11.451
2021,"T08",2021-08-06,1899-12-31 20:00:00,7.948
2021,"T08",2021-08-07,1899-12-31,3.945
2021,"T08",2021-08-07,1899-12-31 04:00:00,2.944
2021,"T08",2021-08-07,1899-12-31 08:00:00,4.445
2021,"T08",2021-08-07,1899-12-31 12:00:00,9.449
2021,"T08",2021-08-07,1899-12-31 16:00:00,16.954
2021,"T08",2021-08-07,1899-12-31 20:00:00,10.95
2021,"T08",2021-08-08,1899-12-31,2.944
2021,"T08",2021-08-08,1899-12-31 04:00:00,3.945
2021,"T08",2021-08-08,1899-12-31 08:00:00,4.946
2021,"T08",2021-08-08,1899-12-31 12:00:00,5.947
2021,"T08",2021-08-08,1899-12-31 16:00:00,6.948
2021,"T08",2021-08-08,1899-12-31 20:00:00,5.446
2021,"T08",2021-08-09,1899-12-31,3.945
2021,"T08",2021-08-09,1899-12-31 04:00:00,2.944
2021,"T08",2021-08-09,1899-12-31 08:00:00,3.444
2021,"T08",2021-08-09,1899-12-31 12:00:00,7.448
2021,"T08",2021-08-09,1899-12-31 16:00:00,7.948
2021,"T08",2021-08-09,1899-12-31 20:00:00,5.947
2021,"T08",2021-08-10,1899-12-31,3.444
2021,"T08",2021-08-10,1899-12-31 04:00:00,2.944
2021,"T08",2021-08-10,1899-12-31 08:00:00,3.945
2021,"T08",2021-08-10,1899-12-31 12:00:00,7.448
2021,"T08",2021-08-10,1899-12-31 16:00:00,5.947
2021,"T08",2021-08-10,1899-12-31 20:00:00,5.947
2021,"T08",2021-08-11,1899-12-31,2.944
2021,"T08",2021-08-11,1899-12-31 04:00:00,2.443
2021,"T08",2021-08-11,1899-12-31 08:00:00,3.444
2021,"T08",2021-08-11,1899-12-31 12:00:00,5.947
2021,"T08",2021-08-11,1899-12-31 16:00:00,5.947
2021,"T08",2021-08-11,1899-12-31 20:00:00,5.446
2021,"T08",2021-08-12,1899-12-31,2.944
2021,"T08",2021-08-12,1899-12-31 04:00:00,0.942
2021,"T08",2021-08-12,1899-12-31 08:00:00,2.944
2021,"T08",2021-08-12,1899-12-31 12:00:00,4.946
2021,"T08",2021-08-12,1899-12-31 16:00:00,9.449
2021,"T08",2021-08-12,1899-12-31 20:00:00,5.947
2021,"T08",2021-08-13,1899-12-31,3.444
2021,"T08",2021-08-13,1899-12-31 04:00:00,2.944
2021,"T08",2021-08-13,1899-12-31 08:00:00,4.445
2021,"T08",2021-08-13,1899-12-31 12:00:00,7.448
2021,"T08",2021-08-13,1899-12-31 16:00:00,12.952
2021,"T08",2021-08-13,1899-12-31 20:00:00,7.948
2021,"T08",2021-08-14,1899-12-31,4.946
2021,"T08",2021-08-14,1899-12-31 04:00:00,5.446
2021,"T08",2021-08-14,1899-12-31 08:00:00,5.446
2021,"T08",2021-08-14,1899-12-31 12:00:00,9.449
2021,"T08",2021-08-14,1899-12-31 16:00:00,10.45
2021,"T08",2021-08-14,1899-12-31 20:00:00,9.95
2021,"T08",2021-08-15,1899-12-31,6.948
2021,"T08",2021-08-15,1899-12-31 04:00:00,6.948
2021,"T08",2021-08-15,1899-12-31 08:00:00,7.448
2021,"T08",2021-08-15,1899-12-31 12:00:00,10.45
2021,"T08",2021-08-15,1899-12-31 16:00:00,9.449
2021,"T08",2021-08-15,1899-12-31 20:00:00,6.447
2021,"T08",2021-08-16,1899-12-31,3.945
2021,"T08",2021-08-16,1899-12-31 04:00:00,2.443
2021,"T08",2021-08-16,1899-12-31 08:00:00,4.946
2021,"T08",2021-08-16,1899-12-31 12:00:00,10.45
2021,"T08",2021-08-16,1899-12-31 16:00:00,11.951
2021,"T08",2021-08-16,1899-12-31 20:00:00,6.447
2021,"T08",2021-08-17,1899-12-31,1.943
2021,"T08",2021-08-17,1899-12-31 04:00:00,3.444
2021,"T08",2021-08-17,1899-12-31 08:00:00,3.444
2021,"T08",2021-08-17,1899-12-31 12:00:00,4.445
2021,"T08",2021-08-17,1899-12-31 16:00:00,4.445
2021,"T08",2021-08-17,1899-12-31 20:00:00,3.945
2021,"T08",2021-08-18,1899-12-31,0.942
2021,"T08",2021-08-18,1899-12-31 04:00:00,1.442
2021,"T08",2021-08-18,1899-12-31 08:00:00,2.944
2021,"T08",2021-08-18,1899-12-31 12:00:00,4.445
2021,"T08",2021-08-18,1899-12-31 16:00:00,5.947
2021,"T08",2021-08-18,1899-12-31 20:00:00,4.445
2021,"T08",2021-08-19,1899-12-31,3.945
2021,"T08",2021-08-19,1899-12-31 04:00:00,3.444
2021,"T08",2021-08-19,1899-12-31 08:00:00,3.945
2021,"T08",2021-08-19,1899-12-31 12:00:00,9.449
2021,"T08",2021-08-19,1899-12-31 16:00:00,19.954
2021,"T08",2021-08-19,1899-12-31 20:00:00,7.948
2021,"T08",2021-08-20,1899-12-31,2.443
2021,"T08",2021-08-20,1899-12-31 04:00:00,1.442
2021,"T08",2021-08-20,1899-12-31 08:00:00,6.447
2021,"T08",2021-08-20,1899-12-31 12:00:00,10.95
2021,"T08",2021-08-20,1899-12-31 16:00:00,12.952
2021,"T08",2021-08-20,1899-12-31 20:00:00,8.949
2021,"T08",2021-08-21,1899-12-31,6.447
2021,"T08",2021-08-21,1899-12-31 04:00:00,4.445
2021,"T08",2021-08-21,1899-12-31 08:00:00,6.447
2021,"T08",2021-08-21,1899-12-31 12:00:00,12.451
2021,"T08",2021-08-21,1899-12-31 16:00:00,9.95
2021,"T08",2021-08-21,1899-12-31 20:00:00,8.449
2021,"T08",2021-08-22,1899-12-31,5.947
2021,"T08",2021-08-22,1899-12-31 04:00:00,3.945
2021,"T08",2021-08-22,1899-12-31 08:00:00,3.444
2021,"T08",2021-08-22,1899-12-31 12:00:00,8.449
2021,"T08",2021-08-22,1899-12-31 16:00:00,8.949
2021,"T08",2021-08-22,1899-12-31 20:00:00,6.948
2021,"T08",2021-08-23,1899-12-31,2.944
2021,"T08",2021-08-23,1899-12-31 04:00:00,1.943
2021,"T08",2021-08-23,1899-12-31 08:00:00,2.944
2021,"T08",2021-08-23,1899-12-31 12:00:00,4.946
2021,"T08",2021-08-23,1899-12-31 16:00:00,6.447
2021,"T08",2021-08-23,1899-12-31 20:00:00,3.444
2021,"T08",2021-08-24,1899-12-31,1.943
2021,"T08",2021-08-24,1899-12-31 04:00:00,1.442
2021,"T08",2021-08-24,1899-12-31 08:00:00,2.443
2021,"T08",2021-08-24,1899-12-31 12:00:00,5.446
2021,"T08",2021-08-24,1899-12-31 16:00:00,4.946
2021,"T08",2021-08-24,1899-12-31 20:00:00,2.944
2021,"T08",2021-08-25,1899-12-31,1.943
2021,"T08",2021-08-25,1899-12-31 04:00:00,1.442
2021,"T08",2021-08-25,1899-12-31 08:00:00,2.443
2021,"T08",2021-08-25,1899-12-31 12:00:00,4.946
2021,"T08",2021-08-25,1899-12-31 16:00:00,6.447
2021,"T08",2021-08-25,1899-12-31 20:00:00,5.947
2021,"T08",2021-08-26,1899-12-31,4.445
2021,"T08",2021-08-26,1899-12-31 04:00:00,2.443
2021,"T08",2021-08-26,1899-12-31 08:00:00,4.445
2021,"T08",2021-08-26,1899-12-31 12:00:00,6.447
2021,"T08",2021-08-26,1899-12-31 16:00:00,7.948
2021,"T08",2021-08-26,1899-12-31 20:00:00,7.948
2021,"T08",2021-08-27,1899-12-31,2.944
2021,"T08",2021-08-27,1899-12-31 04:00:00,1.943
2021,"T08",2021-08-27,1899-12-31 08:00:00,2.443
2021,"T08",2021-08-27,1899-12-31 12:00:00,5.947
2021,"T08",2021-08-27,1899-12-31 16:00:00,7.948
2021,"T08",2021-08-27,1899-12-31 20:00:00,4.946
2021,"T08",2021-08-28,1899-12-31,-0.059
2021,"T08",2021-08-28,1899-12-31 04:00:00,-0.56
2021,"T08",2021-08-28,1899-12-31 08:00:00,1.442
2021,"T08",2021-08-28,1899-12-31 12:00:00,6.447
2021,"T08",2021-08-28,1899-12-31 16:00:00,8.449
2021,"T08",2021-08-28,1899-12-31 20:00:00,3.444
2021,"T08",2021-08-29,1899-12-31,1.943
2021,"T08",2021-08-29,1899-12-31 04:00:00,1.943
2021,"T08",2021-08-29,1899-12-31 08:00:00,2.944
2021,"T08",2021-08-29,1899-12-31 12:00:00,4.946
2021,"T08",2021-08-29,1899-12-31 16:00:00,8.949
2021,"T08",2021-08-29,1899-12-31 20:00:00,2.944
2021,"T08",2021-08-30,1899-12-31,2.443
2021,"T08",2021-08-30,1899-12-31 04:00:00,2.944
2021,"T08",2021-08-30,1899-12-31 08:00:00,3.444
2021,"T08",2021-08-30,1899-12-31 12:00:00,4.946
2021,"T08",2021-08-30,1899-12-31 16:00:00,5.446
2021,"T08",2021-08-30,1899-12-31 20:00:00,3.945
2021,"T08",2021-08-31,1899-12-31,2.443
2021,"T08",2021-08-31,1899-12-31 04:00:00,2.944
2021,"T08",2021-08-31,1899-12-31 08:00:00,3.444
2021,"T08",2021-08-31,1899-12-31 12:00:00,8.449
2021,"T08",2021-08-31,1899-12-31 16:00:00,5.947
2021,"T08",2021-08-31,1899-12-31 20:00:00,3.444
2021,"T08",2021-09-01,1899-12-31,3.444
2021,"T08",2021-09-01,1899-12-31 04:00:00,2.443
2021,"T08",2021-09-01,1899-12-31 08:00:00,3.945
