"","Date","Depth","Veg_type","avg_daily_temp"
"1","2021-07-31",-40,"W2",3.053
"2","2021-07-31",-26,"M1",4.6923
"3","2021-07-31",-26,"W1",4.538
"4","2021-07-31",-25,"W1",3.583
"5","2021-07-31",-25,"W2",4.824
"6","2021-07-31",-24,"W1",4.839
"7","2021-07-31",-23,"M1",3.9037
"8","2021-07-31",-23,"M3",3.2293
"9","2021-07-31",-23,"W1",5.0203
"10","2021-07-31",-21,"W2",5.075
"11","2021-07-31",-20,"L2",7.2937
"12","2021-07-31",-20,"M1",3.583
"13","2021-07-31",-20,"M3",5.1957
"14","2021-07-31",-20,"M3t",3.8601
"15","2021-07-31",-20,"W1",4.7503
"16","2021-07-31",-19,"M1",5.7572
"17","2021-07-31",-19,"W1",5.062
"18","2021-07-31",-19,"W2",4.047
"19","2021-07-31",-17,"M3t",7.5123
"20","2021-07-31",-14,"M3t",5.2573
"21","2021-07-31",-12,"M3",4.2343
"22","2021-07-31",-11,"W1",6.2965
"23","2021-07-31",-10,"M1",8.4888
"24","2021-07-31",0,"A3t",8.3012
"25","2021-07-31",0,"A4t",10.469
"26","2021-07-31",0,"L2",14.3243
"27","2021-07-31",0,"L3",10.7271
"28","2021-07-31",0,"M1",13.2129
"29","2021-07-31",0,"M3",12.8137
"30","2021-07-31",0,"M3t",13.472
"31","2021-07-31",0,"W1",13.3441
"32","2021-07-31",0,"W2",13.7342
"33","2021-08-01",-40,"W2",3.4713
"34","2021-08-01",-26,"M1",5.027
"35","2021-08-01",-26,"W1",4.538
"36","2021-08-01",-25,"W1",3.583
"37","2021-08-01",-25,"W2",5.075
"38","2021-08-01",-24,"W1",5.09
"39","2021-08-01",-23,"M1",4.1547
"40","2021-08-01",-23,"M3",3.564
"41","2021-08-01",-23,"W1",5.6897
"42","2021-08-01",-21,"W2",5.2423
"43","2021-08-01",-20,"L2",7.544
"44","2021-08-01",-20,"M1",4.085
"45","2021-08-01",-20,"M3",5.531
"46","2021-08-01",-20,"M3t",4.0273
"47","2021-08-01",-20,"W1",5.085
"48","2021-08-01",-19,"M1",6.0497
"49","2021-08-01",-19,"W1",5.563
"50","2021-08-01",-19,"W2",4.047
"51","2021-08-01",-17,"M3t",8.2653
"52","2021-08-01",-14,"M3t",5.6757
"53","2021-08-01",-12,"M3",4.569
"54","2021-08-01",-11,"W1",6.7145
"55","2021-08-01",-10,"M1",9.0738
"56","2021-08-01",0,"A3t",8.4058
"57","2021-08-01",0,"A4t",10.7198
"58","2021-08-01",0,"L2",14.6585
"59","2021-08-01",0,"L3",10.8107
"60","2021-08-01",0,"M1",14.4423
"61","2021-08-01",0,"M3",13.5946
"62","2021-08-01",0,"M3t",14.6423
"63","2021-08-01",0,"W1",13.9708
"64","2021-08-01",0,"W2",14.4867
"65","2021-08-02",-40,"W2",3.555
"66","2021-08-02",-26,"M1",5.027
"67","2021-08-02",-26,"W1",4.538
"68","2021-08-02",-25,"W1",4.0013
"69","2021-08-02",-25,"W2",5.1587
"70","2021-08-02",-24,"W1",5.09
"71","2021-08-02",-23,"M1",4.2383
"72","2021-08-02",-23,"M3",3.564
"73","2021-08-02",-23,"W1",5.857
"74","2021-08-02",-21,"W2",5.577
"75","2021-08-02",-20,"L2",7.5858
"76","2021-08-02",-20,"M1",4.085
"77","2021-08-02",-20,"M3",5.531
"78","2021-08-02",-20,"M3t",4.1108
"79","2021-08-02",-20,"W1",5.085
"80","2021-08-02",-19,"M1",5.9662
"81","2021-08-02",-19,"W1",5.73
"82","2021-08-02",-19,"W2",4.55
"83","2021-08-02",-17,"M3t",7.596
"84","2021-08-02",-14,"M3t",5.4247
"85","2021-08-02",-12,"M3",4.2343
"86","2021-08-02",-11,"W1",6.5472
"87","2021-08-02",-10,"M1",8.489
"88","2021-08-02",0,"A3t",8.573
"89","2021-08-02",0,"A4t",10.9429
"90","2021-08-02",0,"L2",12.2393
