"","Date","Depth","Veg_type","avg_daily_temp2"
"1","2022-09-15",-40,"A1",0.5
"2","2022-09-15",-40,"A1t",0
"3","2022-09-15",-40,"A2",0.5
"4","2022-09-15",-40,"A3t",-0.125
"5","2022-09-15",-40,"A4t",0.25
"6","2022-09-15",-40,"D1",0.75
"7","2022-09-15",-40,"D2",0.5
"8","2022-09-15",-40,"Dsn",0.75
"9","2022-09-15",-40,"Dz",0.25
"10","2022-09-15",-40,"L3",0.25
"11","2022-09-15",-40,"M1",0.25
"12","2022-09-15",-40,"M3",0
"13","2022-09-15",-40,"M3t",0
"14","2022-09-15",-40,"Mz",0
"15","2022-09-15",-40,"W1",0.15
"16","2022-09-15",-40,"W2",0.5
"17","2022-09-15",-15,"A1",1.5
"18","2022-09-15",-15,"A1t",1.375
"19","2022-09-15",-15,"A2",1
"20","2022-09-15",-15,"A3t",1.1458
"21","2022-09-15",-15,"A4t",1.4583
"22","2022-09-15",-15,"D1",1.125
"23","2022-09-15",-15,"D2",1.0417
"24","2022-09-15",-15,"Dsn",0.8333
"25","2022-09-15",-15,"Dz",0.5833
"26","2022-09-15",-15,"M1",1.0833
"27","2022-09-15",-15,"M3",1.2083
"28","2022-09-15",-15,"M3t",1.0833
"29","2022-09-15",-15,"Mz",1
"30","2022-09-15",-15,"W1",1.1875
"31","2022-09-15",-15,"W2",1.8333
"32","2022-09-15",0,"A1",1.7083
"33","2022-09-15",0,"A1t",1.75
"34","2022-09-15",0,"A2",2
"35","2022-09-15",0,"A3t",1.7708
"36","2022-09-15",0,"A4t",1.75
"37","2022-09-15",0,"D1",1.4167
"38","2022-09-15",0,"D2",1.2083
"39","2022-09-15",0,"Dsn",1.0833
"40","2022-09-15",0,"Dz",1.1667
"41","2022-09-15",0,"M1",1
"42","2022-09-15",0,"M3",1.5417
"43","2022-09-15",0,"M3t",1.2083
"44","2022-09-15",0,"Mz",1.25
"45","2022-09-15",0,"W1",1.55
"46","2022-09-15",0,"W2",1.6944
"47","2022-09-15",100,"Dz",1.25
"48","2022-09-16",-40,"A1",0.5
"49","2022-09-16",-40,"A1t",-0.0833
"50","2022-09-16",-40,"A2",0.5
"51","2022-09-16",-40,"A3t",-0.125
"52","2022-09-16",-40,"A4t",0.25
"53","2022-09-16",-40,"D1",0.75
"54","2022-09-16",-40,"D2",0.5
"55","2022-09-16",-40,"Dsn",0.5
"56","2022-09-16",-40,"Dz",0
"57","2022-09-16",-40,"L3",0.25
"58","2022-09-16",-40,"M1",0.2083
"59","2022-09-16",-40,"M3",0
"60","2022-09-16",-40,"M3t",0
"61","2022-09-16",-40,"Mz",0
"62","2022-09-16",-40,"W1",0.0333
"63","2022-09-16",-40,"W2",0.5
"64","2022-09-16",-15,"A1",1.4167
"65","2022-09-16",-15,"A1t",1.125
