"","Date","Depth","Veg_type","avg_daily_temp"
"1","2022-09-15",-40,"A1",0.5
"2","2022-09-15",-40,"A1t",0
"3","2022-09-15",-40,"A2",0.5
"4","2022-09-15",-40,"A3t",-0.125
"5","2022-09-15",-40,"A4t",0.25
"6","2022-09-15",-40,"D1",0.75
"7","2022-09-15",-40,"D2",0.5
"8","2022-09-15",-40,"Dsn",0.75
"9","2022-09-15",-40,"Dz",0.25
"10","2022-09-15",-40,"L3",0.25
"11","2022-09-15",-40,"M1",0.25
"12","2022-09-15",-40,"M3",0
"13","2022-09-15",-40,"M3t",0
"14","2022-09-15",-40,"Mz",0
"15","2022-09-15",-40,"W1",0.15
"16","2022-09-15",-40,"W2",0.6779
"17","2022-09-15",-26,"M1",1.1747
"18","2022-09-15",-26,"W1",1.529
"19","2022-09-15",-25,"W1",1.068
"20","2022-09-15",-25,"W2",1.6437
"21","2022-09-15",-24,"W1",0.9893
"22","2022-09-15",-23,"M1",1.058
"23","2022-09-15",-23,"M3",1.053
"24","2022-09-15",-23,"W1",1.59
"25","2022-09-15",-21,"W2",1.56
"26","2022-09-15",-20,"L2",1.5265
"27","2022-09-15",-20,"M1",0.7347
"28","2022-09-15",-20,"M3",1.509
"29","2022-09-15",-20,"M3t",0.8095
"30","2022-09-15",-20,"W1",1.3165
"31","2022-09-15",-19,"M1",1.3235
"32","2022-09-15",-19,"W1",1.6385
"33","2022-09-15",-19,"W2",1.362
"34","2022-09-15",-17,"M3t",1.4842
"35","2022-09-15",-15,"A1",1.5
"36","2022-09-15",-15,"A1t",1.375
"37","2022-09-15",-15,"A2",1
"38","2022-09-15",-15,"A3t",1.1458
"39","2022-09-15",-15,"A4t",1.4583
"40","2022-09-15",-15,"D1",1.125
"41","2022-09-15",-15,"D2",1.0417
"42","2022-09-15",-15,"Dsn",0.8333
"43","2022-09-15",-15,"Dz",0.5833
"44","2022-09-15",-15,"M1",1.0833
"45","2022-09-15",-15,"M3",1.2083
"46","2022-09-15",-15,"M3t",1.0833
"47","2022-09-15",-15,"Mz",1
"48","2022-09-15",-15,"W1",1.1875
"49","2022-09-15",-15,"W2",1.8333
"50","2022-09-15",-14,"M3t",0.7347
"51","2022-09-15",-12,"M3",0.8015
"52","2022-09-15",-11,"W1",1.6107
"53","2022-09-15",-10,"M1",1.5089
"54","2022-09-15",0,"A1",1.7083
"55","2022-09-15",0,"A1t",1.75
"56","2022-09-15",0,"A2",2
"57","2022-09-15",0,"A3t",1.6565
"58","2022-09-15",0,"A4t",1.865
"59","2022-09-15",0,"D1",1.4167
"60","2022-09-15",0,"D2",1.2083
"61","2022-09-15",0,"Dsn",1.0833
"62","2022-09-15",0,"Dz",1.1667
"63","2022-09-15",0,"L2",1.8055
"64","2022-09-15",0,"L3",1.8641
"65","2022-09-15",0,"M1",1.5161
