"","Date","iBtn_ID","Plot_ID","Veg_type","Plot_type","Depth","Transect.x","Moist_grad","avg_daily_temp"
"1","2021-07-31","L01","21A-34","A3t","Aquatic",0,"T6","aquatic",7.084
"2","2021-07-31","L02","21A-26","A3t","Aquatic",0,"T6","aquatic",7.082
"3","2021-07-31","L05","21A-37","A3t","Aquatic",0,"T6","aquatic",9.056
"4","2021-07-31","L07","21A-28","A4t","Aquatic",0,"T6","aquatic",10.285
"5","2021-07-31","L08","21A-35","L3","Aquatic",0,"T6","aquatic",10.7608
"6","2021-07-31","L09","21A-27","L3","Aquatic",0,"T6","aquatic",10.077
"7","2021-07-31","L10","21A-24","L3","Aquatic",0,"T6","aquatic",11.798
"8","2021-07-31","L11","21A-18","A3t","Aquatic",0,"JS","aquatic",8.11
"9","2021-07-31","L12","21A-15","A3t","Aquatic",0,"JS","aquatic",8.559
"10","2021-07-31","L13","21A-02","A3t","Aquatic",0,"JS","aquatic",7.083
"11","2021-07-31","L14","21A-09","A3t","Aquatic",0,"JS","aquatic",9.828
"12","2021-07-31","L15","21A-04","A3t","Aquatic",0,"JS","aquatic",9.608
"13","2021-07-31","L16","21A-13","A4t","Aquatic",0,"JS","aquatic",9.575
"14","2021-07-31","L17","21A-03","A4t","Aquatic",0,"JS","aquatic",11.547
"15","2021-07-31","L18","21A-19","L3","Aquatic",0,"JS","aquatic",9.628
"16","2021-07-31","L19","21A-16","L3","Aquatic",0,"JS","aquatic",9.9457
"17","2021-07-31","L20","21A-14","L3","Aquatic",0,"JS","aquatic",12.1532
"18","2021-07-31","T02","21-22","M1","Terrestrial",-23,"T9","moist tundra",3.9037
"19","2021-07-31","T04","21-25","L2","Terrestrial",0,"T7","aquatic",14.3243
"20","2021-07-31","T06","21-18","M3","Terrestrial",-20,"T8","moist tundra",5.1957
"21","2021-07-31","T08","21-02","W1","Terrestrial",0,"T8","wet tundra",15.0357
"22","2021-07-31","T09","21-21","M1","Terrestrial",0,"T9","moist tundra",14.402
"23","2021-07-31","T10","21-24","M1","Terrestrial",-26,"T9","moist tundra",4.6923
"24","2021-07-31","T11","21-24","M1","Terrestrial",0,"T9","moist tundra",12.6165
"25","2021-07-31","T12","21-09","M3t","Terrestrial",-14,"T6","moist tundra",5.2573
"26","2021-07-31","T13","21-01","W1","Terrestrial",0,"T8","wet tundra",13.0302
"27","2021-07-31","T14","21-20","M1","Terrestrial",0,"T9","moist tundra",13.2295
"28","2021-07-31","T17","21-22","M1","Terrestrial",0,"T9","moist tundra",13.6872
