Date,Time,T02,T04,T06,T08,T09,T12,T13,T14,T17,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T33,T35,T36,T37,T39,T40,T41,T42,T43,T44,T46,T47,T48,T49,T51,T52,T53,T55,T56,T57,T58,T59,T60
2021-07-31,0:00:00,4.071,12.072,5.531,11.451,10.642,5.592,11.61,11.06,10.601,3.564,10.642,12.064,9.075,10.059,6.063,4.047,3.583,6.12,4.573,3.583,12.147,7.049,9.577,3.053,5.075,4.631,8.023,7.065,5.104,10.141,10.128,5.062,10.063,3.507,10.079,10.58,4.569,7.596,10.607,10.14,4.538,5.09,10.1,9.083,9.072
2021-07-31,4:00:00,4.071,10.571,5.531,9.449,8.634,5.09,10.105,9.056,8.096,3.564,8.634,10.56,8.574,8.554,6.063,4.047,3.583,6.12,5.075,3.583,10.643,6.046,8.072,3.053,5.075,4.631,8.023,7.065,5.104,8.636,8.621,5.062,8.559,3.507,8.071,9.076,4.067,7.596,9.102,8.634,4.538,5.09,8.595,7.575,8.07
2021-07-31,8:00:00,4.071,12.072,5.028,11.951,11.645,5.09,11.108,11.06,11.101,3.062,11.144,11.563,7.57,10.56,5.561,4.047,3.583,5.619,5.075,3.583,11.144,5.544,10.079,3.053,5.075,4.631,7.522,7.065,5.104,11.144,9.124,5.062,11.065,3.507,11.583,11.081,4.067,7.094,10.607,10.642,4.538,5.09,11.103,10.087,7.569
2021-07-31,12:00:00,3.569,17.077,5.028,20.455,18.664,5.09,14.117,15.066,17.108,3.062,15.657,14.57,8.072,17.575,5.561,4.047,3.583,5.619,5.075,3.583,14.654,5.544,15.091,3.053,5.075,4.129,7.522,6.565,4.602,20.162,11.133,5.062,15.573,3.006,20.101,18.096,4.067,7.094,14.117,14.153,4.538,4.588,17.116,17.614,7.569
2021-07-31,16:00:00,3.569,17.077,5.028,18.454,18.664,5.09,15.119,16.067,17.108,3.062,16.66,16.072,9.075,17.074,5.561,4.047,3.583,5.619,4.573,3.583,16.658,6.547,15.592,3.053,5.075,4.129,7.522,6.565,5.104,17.658,13.141,5.062,16.574,3.006,18.098,16.594,4.067,7.596,16.122,15.156,4.538,4.588,16.615,15.107,8.571
2021-07-31,20:00:00,4.071,17.077,5.028,18.454,18.163,5.592,16.122,17.068,18.109,3.062,16.66,16.573,9.577,17.074,5.561,4.047,3.583,5.619,4.573,3.583,17.159,7.049,15.091,3.053,5.075,4.631,7.522,7.065,5.104,18.159,13.141,5.062,16.574,3.006,18.098,17.095,4.569,8.098,16.122,15.156,4.538,4.588,16.615,15.107,9.072
2021-08-01,0:00:00,4.071,15.076,5.531,15.953,16.159,5.592,13.616,14.065,16.608,3.564,14.153,14.57,9.577,14.57,6.063,4.047,4.085,6.12,5.075,3.583,14.654,7.049,12.586,3.053,5.075,4.631,8.023,7.065,5.606,15.655,11.635,5.563,14.071,3.006,14.591,14.089,4.569,8.6,13.616,13.15,4.538,5.09,13.609,13.1,9.072
2021-08-01,4:00:00,4.071,12.072,5.531,11.951,11.144,5.592,11.61,11.561,12.103,3.564,11.144,12.064,9.075,10.56,6.063,4.047,4.085,6.12,5.075,3.583,12.649,6.547,10.079,3.555,5.075,4.631,8.023,7.065,5.606,10.643,10.128,5.563,11.065,3.507,11.583,11.081,4.569,8.098,11.61,11.144,4.538,5.09,10.602,9.585,9.072
2021-08-01,8:00:00,4.071,13.074,5.531,13.452,13.652,5.592,12.111,12.062,13.605,3.564,12.147,12.565,8.574,12.565,6.063,4.047,4.085,6.12,5.075,3.583,12.649,6.046,11.082,3.555,5.577,4.631,8.023,7.065,5.606,12.648,10.128,5.563,12.067,3.507,13.589,12.585,4.569,8.098,12.111,12.147,4.538,5.09,12.607,11.594,8.571
2021-08-01,12:00:00,4.071,17.077,5.531,19.954,19.165,5.592,15.119,16.067,19.61,3.564,14.655,16.072,8.574,19.577,6.063,4.047,4.085,5.619,5.075,3.583,16.157,6.547,15.091,3.555,5.075,4.631,8.023,7.065,5.606,23.164,12.137,5.563,16.074,3.507,19.6,19.098,4.569,7.596,16.122,16.159,4.538,5.09,19.119,18.616,8.571
