"","Depth","Veg_type","Transect.x","Moist_grad","avg_daily_temp"
"1",-40,"A1","Lakes","aquatic",-6.1178
"2",-40,"A1t","T7","aquatic",-6.2963
"3",-40,"A2","Lakes","aquatic",-5.9583
"4",-40,"A3t","T6","aquatic",-4.2832
"5",-40,"A4t","T6","aquatic",-5.0549
"6",-40,"D1","Pingo","dry tundra",-7.9092
"7",-40,"D2","Pingo","dry tundra",-6.1624
"8",-40,"Dsn","Pingo","dry tundra",-5.9475
"9",-40,"Dz","Pingo","dry tundra",-8.0444
"10",-40,"L3","T6","aquatic",-3.9996
"11",-40,"M1","T6","moist tundra",-6.624
"12",-40,"M1","T9","moist tundra",-7.6385
"13",-40,"M3","T7","moist tundra",-6.8946
"14",-40,"M3","T8","moist tundra",-6.6716
"15",-40,"M3t","T6","moist tundra",-5.8558
"16",-40,"Mz","T8","moist tundra",-7.6765
"17",-40,"W1","T6","wet tundra",-5.8221
"18",-40,"W1","T7","wet tundra",-6.4525
"19",-40,"W1","T8","wet tundra",-6.4447
"20",-40,"W1","T9","wet tundra",-5.9593
"21",-40,"W2","T7","wet tundra",-5.2192
"22",-40,"W2","T8","wet tundra",-6.4311
"23",-26,"M1","T9","moist tundra",-6.046
"24",-26,"W1","T7","wet tundra",-5.0037
"25",-25,"W1","T8","wet tundra",-5.7971
"26",-25,"W2","T8","wet tundra",-6.2682
"27",-24,"W1","T8","wet tundra",-6.2197
"28",-23,"M1","T9","moist tundra",-5.7446
"29",-23,"M3","T8","moist tundra",-5.9796
"30",-23,"W1","T6","wet tundra",-4.5049
"31",-21,"W2","T8","wet tundra",-5.7215
"32",-20,"L2","T7","aquatic",-6.037
"33",-20,"M1","T9","moist tundra",-7.3697
"34",-20,"M3","T8","moist tundra",-5.423
"35",-20,"M3t","T6","moist tundra",-5.5527
"36",-20,"W1","T9","wet tundra",-5.606
"37",-19,"M1","T6","moist tundra",-6.0755
"38",-19,"M1","T9","moist tundra",-6.6025
"39",-19,"W1","T6","wet tundra",-4.6874
"40",-19,"W2","T9","wet tundra",-5.3592
"41",-17,"M3t","T6","moist tundra",-4.5352
"42",-15,"A1","Lakes","aquatic",-5.7074
"43",-15,"A1t","T7","aquatic",-5.7055
"44",-15,"A2","Lakes","aquatic",-5.7887
"45",-15,"A3t","T6","aquatic",-3.5589
"46",-15,"A4t","T6","aquatic",-4.1373
"47",-15,"D1","Pingo","dry tundra",-7.8495
"48",-15,"D2","Pingo","dry tundra",-5.7566
"49",-15,"Dsn","Pingo","dry tundra",-6.0561
"50",-15,"Dz","Pingo","dry tundra",-8.4051
"51",-15,"M1","T6","moist tundra",-6.2199
"52",-15,"M1","T9","moist tundra",-6.8441
"53",-15,"M3","T7","moist tundra",-6.1703
"54",-15,"M3","T8","moist tundra",-5.9669
"55",-15,"M3t","T6","moist tundra",-5.1685
"56",-15,"Mz","T8","moist tundra",-7.0468
"57",-15,"W1","T6","wet tundra",-5.0814
"58",-15,"W1","T7","wet tundra",-5.5321
"59",-15,"W1","T8","wet tundra",-5.7311
"60",-15,"W2","T7","wet tundra",-4.8051
"61",-15,"W2","T8","wet tundra",-5.7504
"62",-14,"M3t","T6","moist tundra",-5.9769
"63",-12,"M3","T6","moist tundra",-5.9757
"64",-11,"W1","T6","wet tundra",-3.8538
"65",-10,"M1","T6","moist tundra",-6.4892
"66",0,"A1","Lakes","aquatic",-4.4888
"67",0,"A1t","T7","aquatic",-5.2336
"68",0,"A2","Lakes","aquatic",-4.8037
"69",0,"A3t","JS","aquatic",-2.7707
"70",0,"A3t","T6","aquatic",-3.1084
"71",0,"A4t","JS","aquatic",-2.8285
"72",0,"A4t","T6","aquatic",-3.3118
"73",0,"D1","Pingo","dry tundra",-7.4409
"74",0,"D2","Pingo","dry tundra",-5.2685
"75",0,"Dsn","Pingo","dry tundra",-5.2301
"76",0,"Dz","Pingo","dry tundra",-7.3877
"77",0,"L2","T7","aquatic",-5.0866
"78",0,"L3","JS","aquatic",-2.1632
"79",0,"L3","T6","aquatic",-2.1117
"80",0,"M1","T6","moist tundra",-5.9774
"81",0,"M1","T9","moist tundra",-6.0247
"82",0,"M3","T6","moist tundra",-5.0394
"83",0,"M3","T7","moist tundra",-5.5365
"84",0,"M3","T8","moist tundra",-4.9357
"85",0,"M3t","T6","moist tundra",-4.5222
"86",0,"Mz","T8","moist tundra",-7.9336
"87",0,"W1","T6","wet tundra",-3.9166
"88",0,"W1","T7","wet tundra",-4.4989
"89",0,"W1","T8","wet tundra",-5.0409
"90",0,"W1","T9","wet tundra",-4.6604
"91",0,"W2","T7","wet tundra",-4.4904
"92",0,"W2","T8","wet tundra",-5.5687
"93",100,"Dz","Pingo","dry tundra",-8.5816
