"","iBtn_ID","Plot_ID","Veg_type","Depth","Transect.x","Moist_grad","avg_daily_temp"
"1","L01","21A-34","A3t",0,"T6","aquatic",-2.002
"2","L02","21A-26","A3t",0,"T6","aquatic",-2.9785
"3","L05","21A-37","A3t",0,"T6","aquatic",-1.9338
"4","L07","21A-28","A4t",0,"T6","aquatic",-2.2523
"5","L08","21A-35","L3",0,"T6","aquatic",-1.3556
"6","L09","21A-27","L3",0,"T6","aquatic",-1.9259
"7","L10","21A-24","L3",0,"T6","aquatic",-0.6089
"8","L11","21A-18","A3t",0,"JS","aquatic",-1.9254
"9","L12","21A-15","A3t",0,"JS","aquatic",-0.9263
"10","L13","21A-02","A3t",0,"JS","aquatic",-2.2851
"11","L14","21A-09","A3t",0,"JS","aquatic",-2.1156
"12","L15","21A-04","A3t",0,"JS","aquatic",-1.5034
"13","L16","21A-13","A4t",0,"JS","aquatic",-1.4406
"14","L17","21A-03","A4t",0,"JS","aquatic",-1.6574
"15","L18","21A-19","L3",0,"JS","aquatic",-1.6862
"16","L19","21A-16","L3",0,"JS","aquatic",-1.0818
"17","L20","21A-14","L3",0,"JS","aquatic",-0.969
"18","T02","21-22","M1",-23,"T9","moist tundra",-5.2159
"19","T04","21-25","L2",0,"T7","aquatic",-3.4332
"20","T06","21-18","M3",-20,"T8","moist tundra",-4.5895
"21","T08","21-02","W1",0,"T8","wet tundra",-3.6562
"22","T09","21-21","M1",0,"T9","moist tundra",-5.8544
"23","T10","21-24","M1",-26,"T9","moist tundra",-5.2631
"24","T11","21-24","M1",0,"T9","moist tundra",-4.5644
"25","T12","21-09","M3t",-14,"T6","moist tundra",-5.1577
"26","T13","21-01","W1",0,"T8","wet tundra",-4.1334
"27","T14","21-20","M1",0,"T9","moist tundra",-5.148
"28","T17","21-22","M1",0,"T9","moist tundra",-4.9235
"29","T18","21-23","W1",-20,"T9","wet tundra",-4.6613
"30","T19","21-17","M3",-23,"T8","moist tundra",-5.1352
"31","T20","21-17","M3",0,"T8","moist tundra",-4.2662
"32","T21","21-27","W1",0,"T7","wet tundra",-2.9459
"33","T22","21-06","M1",-10,"T6","moist tundra",-5.8815
"34","T23","21-09","M3t",0,"T6","moist tundra",-4.0163
"35","T24","21-20","M1",-19,"T9","moist tundra",-5.8663
"36","T25","21-19","W2",-19,"T9","wet tundra",-4.4525
"37","T26","21-21","M1",-20,"T9","moist tundra",-6.7023
"38","T27","21-10","M1",-19,"T6","moist tundra",-5.3672
"39","T28","21-03","W2",-25,"T8","wet tundra",-4.6916
"40","T29","21-02","W1",-25,"T8","wet tundra",-4.5862
"41","T30","21-03","W2",0,"T8","wet tundra",-3.9291
"42","T31","21-12","W1",-11,"T6","wet tundra",-3.2933
"43","T33","21-12","W1",0,"T6","wet tundra",-2.8688
"44","T35","21-28","W2",-40,"T7","wet tundra",-4.1505
"45","T36","21-04","W2",-21,"T8","wet tundra",-4.3436
"46","T37","21-15","M3t",-20,"T6","moist tundra",-4.2212
"47","T38","21-23","W1",0,"T9","wet tundra",-3.6837
"48","T39","21-26","L2",-20,"T7","aquatic",-4.2733
"49","T40","21-25","L2",-20,"T7","aquatic",-4.6813
"50","T41","21-16","W1",-23,"T6","wet tundra",-4.0369
"51","T42","21-10","M1",0,"T6","moist tundra",-4.8574
"52","T43","21-06","M1",0,"T6","moist tundra",-5.8301
"53","T44","21-14","W1",-19,"T6","wet tundra",-4.0553
"54","T46","21-14","W1",0,"T6","wet tundra",-2.8483
"55","T47","21-08","M3t",-20,"T6","moist tundra",-5.3958
"56","T48","21-15","M3t",0,"T6","moist tundra",-3.2706
"57","T49","21-11","M3t",0,"T6","moist tundra",-3.2096
"58","T51","21-07","M3",-12,"T6","moist tundra",-5.1855
"59","T52","21-11","M3t",-17,"T6","moist tundra",-3.9569
"60","T53","21-18","M3",0,"T8","moist tundra",-3.8371
"61","T55","21-08","M3t",0,"T6","moist tundra",-3.8122
"62","T56","21-27","W1",-26,"T7","wet tundra",-3.9805
"63","T57","21-01","W1",-24,"T8","wet tundra",-5.1161
"64","T58","21-05","M1",0,"T6","moist tundra",-4.5738
"65","T59","21-07","M3",0,"T6","moist tundra",-4.192
"66","T60","21-05","M1",-10,"T6","moist tundra",-5.2102
