"","Date","Depth","Veg_type","avg_daily_temp2"
"1","2022-09-15",-40,"A1t",0
"2","2022-09-15",-40,"M1",0.25
"3","2022-09-15",-40,"M3",0
"4","2022-09-15",-40,"M3t",0
"5","2022-09-15",-40,"W1",0.0625
"6","2022-09-15",-40,"W2",0.5
"7","2022-09-15",-15,"A1t",1.375
"8","2022-09-15",-15,"M1",1.0833
"9","2022-09-15",-15,"M3",1.2083
"10","2022-09-15",-15,"M3t",1.0833
"11","2022-09-15",-15,"W1",1.1875
"12","2022-09-15",-15,"W2",1.8333
"13","2022-09-15",0,"A1t",1.75
"14","2022-09-15",0,"M1",1
"15","2022-09-15",0,"M3",1.5417
"16","2022-09-15",0,"M3t",1.2083
"17","2022-09-15",0,"W1",1.5208
"18","2022-09-15",0,"W2",1.6944
"19","2022-09-16",-40,"A1t",-0.0833
"20","2022-09-16",-40,"M1",0.2083
"21","2022-09-16",-40,"M3",0
"22","2022-09-16",-40,"M3t",0
"23","2022-09-16",-40,"W1",-0.0833
"24","2022-09-16",-40,"W2",0.5
"25","2022-09-16",-15,"A1t",1.125
"26","2022-09-16",-15,"M1",1.0417
"27","2022-09-16",-15,"M3",1.2083
"28","2022-09-16",-15,"M3t",1
"29","2022-09-16",-15,"W1",1.0417
"30","2022-09-16",-15,"W2",1.5556
"31","2022-09-16",0,"A1t",1.7083
"32","2022-09-16",0,"M1",1.3333
"33","2022-09-16",0,"M3",1.7083
"34","2022-09-16",0,"M3t",1.375
"35","2022-09-16",0,"W1",1.6875
"36","2022-09-16",0,"W2",1.9722
"37","2022-09-17",-40,"A1t",-0.5
"38","2022-09-17",-40,"M1",-0.0417
"39","2022-09-17",-40,"M3",0
"40","2022-09-17",-40,"M3t",0
"41","2022-09-17",-40,"W1",-0.125
"42","2022-09-17",-40,"W2",0.5
"43","2022-09-17",-15,"A1t",1.0833
"44","2022-09-17",-15,"M1",1.0417
"45","2022-09-17",-15,"M3",1.125
"46","2022-09-17",-15,"M3t",1
"47","2022-09-17",-15,"W1",0.9792
"48","2022-09-17",-15,"W2",1.5556
"49","2022-09-17",0,"A1t",1.8333
"50","2022-09-17",0,"M1",1.75
"51","2022-09-17",0,"M3",2.2083
"52","2022-09-17",0,"M3t",1.5833
"53","2022-09-17",0,"W1",1.9375
"54","2022-09-17",0,"W2",2.0833
"55","2022-09-18",-40,"A1t",-0.3333
"56","2022-09-18",-40,"M1",0.1667
"57","2022-09-18",-40,"M3",0
"58","2022-09-18",-40,"M3t",0
"59","2022-09-18",-40,"W1",-0.125
"60","2022-09-18",-40,"W2",0.5
"61","2022-09-18",-15,"A1t",1.3333
"62","2022-09-18",-15,"M1",1.5
"63","2022-09-18",-15,"M3",1.5417
"64","2022-09-18",-15,"M3t",1.3333
"65","2022-09-18",-15,"W1",1.375
"66","2022-09-18",-15,"W2",1.9444
"67","2022-09-18",0,"A1t",2.4583
"68","2022-09-18",0,"M1",3
"69","2022-09-18",0,"M3",3.4167
"70","2022-09-18",0,"M3t",2.2917
"71","2022-09-18",0,"W1",2.9375
"72","2022-09-18",0,"W2",3.4722
"73","2022-09-19",-40,"A1t",0
"74","2022-09-19",-40,"M1",0.25
"75","2022-09-19",-40,"M3",0.0417
"76","2022-09-19",-40,"M3t",0
"77","2022-09-19",-40,"W1",0.0625
"78","2022-09-19",-40,"W2",0.5
"79","2022-09-19",-15,"A1t",1.5
"80","2022-09-19",-15,"M1",1.8333
"81","2022-09-19",-15,"M3",2
"82","2022-09-19",-15,"M3t",1.625
"83","2022-09-19",-15,"W1",1.7292
"84","2022-09-19",-15,"W2",2.4722
"85","2022-09-19",0,"A1t",3.1667
"86","2022-09-19",0,"M1",3.25
"87","2022-09-19",0,"M3",3.9167
"88","2022-09-19",0,"M3t",2.875
"89","2022-09-19",0,"W1",3.4375
"90","2022-09-19",0,"W2",4.25
"91","2022-09-20",-40,"A1t",0
"92","2022-09-20",-40,"M1",0.25
"93","2022-09-20",-40,"M3",0.25
"94","2022-09-20",-40,"M3t",0
"95","2022-09-20",-40,"W1",0.3333
"96","2022-09-20",-40,"W2",0.5
"97","2022-09-20",-15,"A1t",1.9167
"98","2022-09-20",-15,"M1",2.0417
"99","2022-09-20",-15,"M3",2.1667
"100","2022-09-20",-15,"M3t",1.7917
"101","2022-09-20",-15,"W1",1.9583
"102","2022-09-20",-15,"W2",2.8611
"103","2022-09-20",0,"A1t",3.25
"104","2022-09-20",0,"M1",2.3333
"105","2022-09-20",0,"M3",3.25
"106","2022-09-20",0,"M3t",2.5
"107","2022-09-20",0,"W1",3.125
"108","2022-09-20",0,"W2",3.9444
"109","2022-09-21",-40,"A1t",0
"110","2022-09-21",-40,"M1",0.25
"111","2022-09-21",-40,"M3",0.25
"112","2022-09-21",-40,"M3t",0
"113","2022-09-21",-40,"W1",0.375
"114","2022-09-21",-40,"W2",0.5278
"115","2022-09-21",-15,"A1t",2
"116","2022-09-21",-15,"M1",1.7083
"117","2022-09-21",-15,"M3",1.9167
"118","2022-09-21",-15,"M3t",1.625
"119","2022-09-21",-15,"W1",1.7917
"120","2022-09-21",-15,"W2",2.7222
"121","2022-09-21",0,"A1t",3.125
"122","2022-09-21",0,"M1",1.9167
"123","2022-09-21",0,"M3",2.75
"124","2022-09-21",0,"M3t",1.9583
"125","2022-09-21",0,"W1",2.5208
"126","2022-09-21",0,"W2",3.4444
"127","2022-09-22",-40,"A1t",0
"128","2022-09-22",-40,"M1",0.25
"129","2022-09-22",-40,"M3",0.25
"130","2022-09-22",-40,"M3t",0
"131","2022-09-22",-40,"W1",0.3542
"132","2022-09-22",-40,"W2",0.5278
"133","2022-09-22",-15,"A1t",2
"134","2022-09-22",-15,"M1",1.5833
"135","2022-09-22",-15,"M3",1.7083
"136","2022-09-22",-15,"M3t",1.5417
"137","2022-09-22",-15,"W1",1.6042
"138","2022-09-22",-15,"W2",2.5
"139","2022-09-22",0,"A1t",2.9583
"140","2022-09-22",0,"M1",1.5833
"141","2022-09-22",0,"M3",2.2083
"142","2022-09-22",0,"M3t",1.7917
"143","2022-09-22",0,"W1",2.2083
"144","2022-09-22",0,"W2",3
"145","2022-09-23",-40,"A1t",0
"146","2022-09-23",-40,"M1",0.25
"147","2022-09-23",-40,"M3",0.25
"148","2022-09-23",-40,"M3t",0
"149","2022-09-23",-40,"W1",0.0833
"150","2022-09-23",-40,"W2",0.5
"151","2022-09-23",-15,"A1t",1.8333
"152","2022-09-23",-15,"M1",1.4583
"153","2022-09-23",-15,"M3",1.5
"154","2022-09-23",-15,"M3t",1.3333
"155","2022-09-23",-15,"W1",1.4375
"156","2022-09-23",-15,"W2",2.3056
"157","2022-09-23",0,"A1t",2.5417
"158","2022-09-23",0,"M1",1.3333
"159","2022-09-23",0,"M3",1.875
"160","2022-09-23",0,"M3t",1.4583
"161","2022-09-23",0,"W1",1.6667
"162","2022-09-23",0,"W2",2.3333
"163","2022-09-24",-40,"A1t",0
"164","2022-09-24",-40,"M1",0.25
"165","2022-09-24",-40,"M3",0.2083
"166","2022-09-24",-40,"M3t",0
"167","2022-09-24",-40,"W1",0.0208
"168","2022-09-24",-40,"W2",0.5
"169","2022-09-24",-15,"A1t",1.7083
"170","2022-09-24",-15,"M1",1.1667
"171","2022-09-24",-15,"M3",1.375
"172","2022-09-24",-15,"M3t",1.125
"173","2022-09-24",-15,"W1",1.1667
"174","2022-09-24",-15,"W2",2.0278
"175","2022-09-24",0,"A1t",2.3333
"176","2022-09-24",0,"M1",0.6667
"177","2022-09-24",0,"M3",1.375
"178","2022-09-24",0,"M3t",1
"179","2022-09-24",0,"W1",1.2917
"180","2022-09-24",0,"W2",2
"181","2022-09-25",-40,"A1t",0
"182","2022-09-25",-40,"M1",-0.0833
"183","2022-09-25",-40,"M3",0
"184","2022-09-25",-40,"M3t",0
"185","2022-09-25",-40,"W1",-0.0833
"186","2022-09-25",-40,"W2",0.5
"187","2022-09-25",-15,"A1t",1.3333
"188","2022-09-25",-15,"M1",1
"189","2022-09-25",-15,"M3",0.9583
"190","2022-09-25",-15,"M3t",1
"191","2022-09-25",-15,"W1",0.8333
"192","2022-09-25",-15,"W2",1.6111
"193","2022-09-25",0,"A1t",1.875
"194","2022-09-25",0,"M1",0.25
"195","2022-09-25",0,"M3",0.875
"196","2022-09-25",0,"M3t",0.5417
"197","2022-09-25",0,"W1",0.7083
"198","2022-09-25",0,"W2",1.1111
"199","2022-09-26",-40,"A1t",-0.25
"200","2022-09-26",-40,"M1",-0.25
"201","2022-09-26",-40,"M3",-0.0417
"202","2022-09-26",-40,"M3t",0
"203","2022-09-26",-40,"W1",-0.125
"204","2022-09-26",-40,"W2",0.5
"205","2022-09-26",-15,"A1t",1.1667
"206","2022-09-26",-15,"M1",0.5833
"207","2022-09-26",-15,"M3",0.75
"208","2022-09-26",-15,"M3t",0.5833
"209","2022-09-26",-15,"W1",0.5625
"210","2022-09-26",-15,"W2",1.25
"211","2022-09-26",0,"A1t",1.375
"212","2022-09-26",0,"M1",-0.5
"213","2022-09-26",0,"M3",0.1667
"214","2022-09-26",0,"M3t",-0.0417
"215","2022-09-26",0,"W1",0.125
"216","2022-09-26",0,"W2",0.4722
"217","2022-09-27",-40,"A1t",-0.5
"218","2022-09-27",-40,"M1",-0.25
"219","2022-09-27",-40,"M3",-0.25
"220","2022-09-27",-40,"M3t",0
"221","2022-09-27",-40,"W1",-0.125
"222","2022-09-27",-40,"W2",0.4722
"223","2022-09-27",-15,"A1t",0.7917
"224","2022-09-27",-15,"M1",0.375
"225","2022-09-27",-15,"M3",0.2917
"226","2022-09-27",-15,"M3t",0.5
"227","2022-09-27",-15,"W1",0.1458
"228","2022-09-27",-15,"W2",0.8889
"229","2022-09-27",0,"A1t",0.9583
"230","2022-09-27",0,"M1",-0.5
"231","2022-09-27",0,"M3",0.125
"232","2022-09-27",0,"M3t",-0.25
"233","2022-09-27",0,"W1",-0.0625
"234","2022-09-27",0,"W2",0.1944
"235","2022-09-28",-40,"A1t",-0.5
"236","2022-09-28",-40,"M1",-0.25
"237","2022-09-28",-40,"M3",-0.25
"238","2022-09-28",-40,"M3t",0
"239","2022-09-28",-40,"W1",-0.2083
"240","2022-09-28",-40,"W2",0.1944
"241","2022-09-28",-15,"A1t",0.75
"242","2022-09-28",-15,"M1",0
"243","2022-09-28",-15,"M3",0.25
"244","2022-09-28",-15,"M3t",0.2917
"245","2022-09-28",-15,"W1",0.125
"246","2022-09-28",-15,"W2",0.6111
"247","2022-09-28",0,"A1t",0.7917
"248","2022-09-28",0,"M1",-0.75
"249","2022-09-28",0,"M3",0
"250","2022-09-28",0,"M3t",-0.25
"251","2022-09-28",0,"W1",-0.1667
"252","2022-09-28",0,"W2",-0.0556
"253","2022-09-29",-40,"A1t",-0.5
"254","2022-09-29",-40,"M1",-0.25
"255","2022-09-29",-40,"M3",-0.25
"256","2022-09-29",-40,"M3t",0
"257","2022-09-29",-40,"W1",-0.3333
"258","2022-09-29",-40,"W2",0
"259","2022-09-29",-15,"A1t",0.5417
"260","2022-09-29",-15,"M1",0
"261","2022-09-29",-15,"M3",0.25
"262","2022-09-29",-15,"M3t",0.25
"263","2022-09-29",-15,"W1",0.125
"264","2022-09-29",-15,"W2",0.5
"265","2022-09-29",0,"A1t",0.5
"266","2022-09-29",0,"M1",-0.5
"267","2022-09-29",0,"M3",0
"268","2022-09-29",0,"M3t",-0.25
"269","2022-09-29",0,"W1",-0.1875
"270","2022-09-29",0,"W2",-0.1389
"271","2022-09-30",-40,"A1t",-0.5
"272","2022-09-30",-40,"M1",-0.25
"273","2022-09-30",-40,"M3",-0.25
"274","2022-09-30",-40,"M3t",0
"275","2022-09-30",-40,"W1",-0.375
"276","2022-09-30",-40,"W2",0
"277","2022-09-30",-15,"A1t",0.25
"278","2022-09-30",-15,"M1",0
"279","2022-09-30",-15,"M3",0.25
"280","2022-09-30",-15,"M3t",0.25
"281","2022-09-30",-15,"W1",0.125
"282","2022-09-30",-15,"W2",0.3056
"283","2022-09-30",0,"A1t",0.5
"284","2022-09-30",0,"M1",-0.5
"285","2022-09-30",0,"M3",0
"286","2022-09-30",0,"M3t",-0.25
"287","2022-09-30",0,"W1",-0.125
"288","2022-09-30",0,"W2",-0.1667
"289","2022-10-01",-40,"A1t",-0.5
"290","2022-10-01",-40,"M1",-0.25
"291","2022-10-01",-40,"M3",-0.25
