"","iBtn_ID","Plot_ID","Veg_type","Depth","Transect.x","Moist_grad","avg_daily_temp2"
"1","103","21-04","W2",-15,"T8","wet tundra",-5.8
"2","105","21-03","W2",-15,"T8","wet tundra",-5.7
"3","108","21-34","M3",-15,"T7","moist tundra",-6.2
"4","110","21-29","W1",-15,"T7","wet tundra",-5.5
"5","111","21-29","W1",0,"T7","wet tundra",-4.9
"6","112","21-35","A1t",-15,"T7","aquatic",-5.4
"7","117","21-28","W2",-15,"T7","wet tundra",-4.8
"8","119","21-17","M3",-15,"T8","moist tundra",-6
"9","120","21-11","M3t",-15,"T6","moist tundra",-4.7
"10","122","21-34","M3",0,"T7","moist tundra",-5.5
"11","125","21-05","M1",-15,"T6","moist tundra",-6.2
"12","127","21-16","W1",-15,"T6","wet tundra",-5.1
"13","129","21-09","M3t",-15,"T6","moist tundra",-5.6
"14","130","21-29","W1",-40,"T7","wet tundra",-6.5
"15","136","21-05","M1",-40,"T6","moist tundra",-6.6
"16","141","21-31","A1t",-15,"T7","aquatic",-6
"17","142","21-09","M3t",-40,"T6","moist tundra",-6.2
"18","144","21-01","W1",0,"T8","wet tundra",-5.1
"19","146","21-35","A1t",0,"T7","aquatic",-5.1
"20","152","21-16","W1",-40,"T6","wet tundra",-5.8
"21","158","21-34","M3",-40,"T7","moist tundra",-6.9
"22","160","21-28","W2",-40,"T7","wet tundra",-5.3
"23","163","21-35","A1t",-40,"T7","aquatic",-6.3
"24","166","21-02","W1",0,"T8","wet tundra",-4.7
"25","169","21-21","M1",-15,"T9","moist tundra",-6.8
"26","177","21-09","M3t",0,"T6","moist tundra",-4.9
"27","180","21-28","W2",0,"T7","wet tundra",-4.5
"28","181","21-11","M3t",-40,"T6","moist tundra",-5.5
"29","190","21-02","W1",-15,"T8","wet tundra",-5.7
"30","192","21-03","W2",0,"T8","wet tundra",-5.4
"31","194","21-01","W1",-15,"T8","wet tundra",-5.8
"32","196","21-04","W2",0,"T8","wet tundra",-5.6
"33","199","21-17","M3",0,"T8","moist tundra",-4.9
"34","209","21-11","M3t",0,"T6","moist tundra",-4.9
"35","210","21-21","M1",-40,"T9","moist tundra",-7.6
"36","227","21-31","A1t",0,"T7","aquatic",-5.4
"37","242","21-21","M1",0,"T9","moist tundra",-6.4
"38","253","21-04","W2",-40,"T8","wet tundra",-6.3
"39","259","21-01","W1",-40,"T8","wet tundra",-6.5
"40","261","21-16","W1",0,"T6","wet tundra",-4.9
"41","265","21-02","W1",-40,"T8","wet tundra",-6.3
"42","272","21-17","M3",-40,"T8","moist tundra",-6.7
"43","273","21-03","W2",-40,"T8","wet tundra",-6.6
