,Date,Veg_type,Depth,avg_daily_temp2
1,9/15/2022,A1t,-40,0.00
2,9/15/2022,A1t,-15,1.38
3,9/15/2022,A1t,0,1.75
4,9/15/2022,M1,-40,0.25
5,9/15/2022,M1,-15,1.08
6,9/15/2022,M1,0,1.00
7,9/15/2022,M3,-40,0.00
8,9/15/2022,M3,-15,1.21
9,9/15/2022,M3,0,1.54
10,9/15/2022,M3t,-40,0.00
11,9/15/2022,M3t,-15,1.08
12,9/15/2022,M3t,0,1.21
13,9/15/2022,W1,-40,0.06
14,9/15/2022,W1,-15,1.19
15,9/15/2022,W1,0,1.52
16,9/15/2022,W2,-40,0.50
17,9/15/2022,W2,-15,1.83
18,9/15/2022,W2,0,1.69
19,9/16/2022,A1t,-40,-0.08
20,9/16/2022,A1t,-15,1.13
21,9/16/2022,A1t,0,1.71
22,9/16/2022,M1,-40,0.21
23,9/16/2022,M1,-15,1.04
24,9/16/2022,M1,0,1.33
25,9/16/2022,M3,-40,0.00
26,9/16/2022,M3,-15,1.21
27,9/16/2022,M3,0,1.71
28,9/16/2022,M3t,-40,0.00
29,9/16/2022,M3t,-15,1.00
30,9/16/2022,M3t,0,1.38
31,9/16/2022,W1,-40,-0.08
32,9/16/2022,W1,-15,1.04
33,9/16/2022,W1,0,1.69
34,9/16/2022,W2,-40,0.50
35,9/16/2022,W2,-15,1.56
36,9/16/2022,W2,0,1.97
37,9/17/2022,A1t,-40,-0.50
38,9/17/2022,A1t,-15,1.08
39,9/17/2022,A1t,0,1.83
40,9/17/2022,M1,-40,-0.04
41,9/17/2022,M1,-15,1.04
42,9/17/2022,M1,0,1.75
43,9/17/2022,M3,-40,0.00
44,9/17/2022,M3,-15,1.13
45,9/17/2022,M3,0,2.21
46,9/17/2022,M3t,-40,0.00
47,9/17/2022,M3t,-15,1.00
48,9/17/2022,M3t,0,1.58
49,9/17/2022,W1,-40,-0.13
50,9/17/2022,W1,-15,0.98
51,9/17/2022,W1,0,1.94
52,9/17/2022,W2,-40,0.50
53,9/17/2022,W2,-15,1.56
54,9/17/2022,W2,0,2.08
55,9/18/2022,A1t,-40,-0.33
56,9/18/2022,A1t,-15,1.33
57,9/18/2022,A1t,0,2.46
58,9/18/2022,M1,-40,0.17
59,9/18/2022,M1,-15,1.50
60,9/18/2022,M1,0,3.00
61,9/18/2022,M3,-40,0.00
62,9/18/2022,M3,-15,1.54
63,9/18/2022,M3,0,3.42
64,9/18/2022,M3t,-40,0.00
65,9/18/2022,M3t,-15,1.33
66,9/18/2022,M3t,0,2.29
67,9/18/2022,W1,-40,-0.13
68,9/18/2022,W1,-15,1.38
69,9/18/2022,W1,0,2.94
70,9/18/2022,W2,-40,0.50
71,9/18/2022,W2,-15,1.94
72,9/18/2022,W2,0,3.47
73,9/19/2022,A1t,-40,0.00
74,9/19/2022,A1t,-15,1.50
75,9/19/2022,A1t,0,3.17
