"","iBtn_ID","avg_daily_temp2"
"1","103",-5.8
"2","105",-5.7
"3","108",-6.2
"4","110",-5.5
"5","111",-4.9
"6","112",-5.4
"7","117",-4.8
"8","119",-6
"9","120",-4.7
"10","122",-5.5
"11","125",-6.2
"12","127",-5.1
"13","129",-5.6
"14","130",-6.5
"15","136",-6.6
"16","141",-6
"17","142",-6.2
"18","144",-5.1
"19","146",-5.1
"20","152",-5.8
"21","158",-6.9
"22","160",-5.3
"23","163",-6.3
"24","166",-4.7
"25","169",-6.8
"26","177",-4.9
"27","180",-4.5
"28","181",-5.5
"29","190",-5.7
"30","192",-5.4
"31","194",-5.8
"32","196",-5.6
"33","199",-4.9
"34","209",-4.9
"35","210",-7.6
"36","227",-5.4
"37","242",-6.4
"38","253",-6.3
"39","259",-6.5
"40","261",-4.9
"41","265",-6.3
"42","272",-6.7
"43","273",-6.6
