Plot_ID,Transect,Surf_Geol,Landform,Surf_Feat,Microrelief,Veg_Type,NDVI,LAI,Biomass,Veg_Ht,Water_Depth,Snow_Depth,Moisture,Moist_gradient
22-01,LP,Qti,P,N,n,D1,0.5403,0,915,2,0,5,Dry tundra,1
22-02,LP,Qti,P,N,n,D1,0.5674,0,760,2,0,9,Dry tundra,1
22-03,LP,Qti,P,N,n,D1,0.5984,0.12,812,2,0,5,Dry tundra,1
22-04,LP,Qti,P,H,n,D2,0.5202,0.12,957,2,0,34,Dry tundra,1
22-05,LP,Qti,P,H,n,D2,0.4996,0.27,1298,4,0,27,Dry tundra,1
22-06,LP,Qti,P,H,n,D2,0.5344,0.31,586,5,0,30,Dry tundra,1
22-13,LP,Qti,P,Z,n,Dz,0.7942,0.61,825,7,0,4,Dry tundra,1
22-14,LP,Qti,P,H,n,Dsn,0.6421,0.48,1384,6,0,54,Dry tundra,1
21-05,T6,Qsg,R,HCP1,c,M1,0.5727,0.39,924,13,0,29,Moist tundra,2
21-06,T6,Qsg,R,HCP1,c,M1,0.5634,0.2,1019,7,0,15,Moist tundra,2
21-07,T6,Qsg,R,HCP1,c,M3,0.6153,0.96,997,17,0,21,Moist tundra,2
21-08,T6,Qsg,R,TP2,c,M3t,0.5627,0.86,875,17,0,36,Moist tundra,2
21-09,T6,Qsg,R,TP2,c,M3t,0.5179,0.43,1087,12,0,29,Moist tundra,2
21-10,T6,Qsg,R,TP2,r,M1,0.5562,0.4,1697,8,0,30,Moist tundra,2
21-11,T6,Qsg,R,TP2,t,M3t,0.7478,1.42,515,27,7,59,Moist tundra,2
21-15,T6,Qsg,R,HCP1,t,M3t,0.6122,0.72,1250,16,0,70,Moist tundra,2
21-17,T8,Qti,DLir1,DP,r,M3,0.5151,0.63,996,16,0,33,Moist tundra,2
21-18,T8,Qti,DLir1,DP,r,M3,0.5264,0.57,641,14,0,41,Moist tundra,2
21-20,T9,Qsg,R,HCP1,c,M1,0.4936,0.23,1292,6,0,14,Moist tundra,2
21-21,T9,Qsg,R,HCP2,c,M1,0.5384,0.38,1252,8,0,14,Moist tundra,2
21-22,T9,Qsg,R,HCP2,c,M1,0.5379,0.28,1171,9,0,28,Moist tundra,2
21-24,T9,Qti,DLir1,DP,r,M1,0.503,0.45,1083,7,0,21,Moist tundra,2
21-30,T7,Qti,DLir2,LCP1,r,M3,0.6112,0.28,1025,9,0,32,Moist tundra,2
21-34,T7,Qti,DLir2,LCP1,r,M3,0.6154,0.25,534,11,0,38,Moist tundra,2
22-15,T8,Qti,DLir1,BM,n,Mz,0.6984,0.62,886,13,0,12,Moist tundra,2
21-01,T8,Qti,DLir1,DP,n,W1,0.509,0.68,658,14,1,49,Wet tundra,3
21-02,T8,Qti,DLir1,DP,n,W1,0.5279,0.52,400,12,4,15,Wet tundra,3
21-03,T8,Qt,DLip,N,n,W2,0.4301,0.55,159,14,4,23,Wet tundra,3
21-04,T8,Qt,DLip,N,n,W2,0.4925,0.46,688,19,5,36,Wet tundra,3
