Plot_ID,Site,Transect,Surf_geol,Landform,Surf_feat,Surf_feat_ele,Veg_type,Moist_grad,Site_moist,NDVI,NDVI-pos,LAI,Thaw_dep_aug21,Thaw_dep_aug22,Thaw_dep_aug23,Water_dep_aug21,Water_dep_aug22,Water_cov_jul23,Water_dep_aug23,Snow_dep_spr22,Snow_density_spr22,swe_spr22,Snow_dep_spr24,Veg_ht_jul23,Veg_ht_21-22,Moss-thick-live,Org_thick,Species richness,Vol_moist,Biomass_shrub_dec,Biomass_shrub_everg,Biomass_gram_livedead,Biomass_forb,Biomass_horsetail,Biomass_lichen,Biomass_litter,Biomass_moss,Biomass_total
21-01,nirpo,T8,Qti,DLir1,DP,n,W1,wet tundra,8,0.50897087,0.50897087,0.68,42.6,42.6,50,0.8,2.2,2,1,54,0.28,14.3,48.8,14,10,2,24,18,55.67,33.8,69.9,85.6,0,32,5.8,134.7,295.8,657.6
21-02,nirpo,T8,Qti,DLir1,DP,n,W1,wet tundra,8,0.52789014,0.52789014,0.52,50.2,51.2,55.75,0.6,1.6,1,3.5,43,0.28,13,15.2,11.5,10,2,25,12,58.11,16.6,10.1,77.2,0,18,0,17.9,259.8,399.6
21-03,nirpo,T8,Qt,DLip,N,n,W2,wet tundra,9,0.43014333,0.43014333,0.55,43.8,46.2,52.5,4.8,11.2,70,4,43,0.3,13.6,22.6,14.3,20,1,25,4,96.89,0,0,105.8,0,0,0,25,28.5,159.3
21-04,nirpo,T8,Qt,DLip,N,n,W2,wet tundra,9,0.49252299,0.49252299,0.46,43.4,44.6,50.75,3.8,11.4,80,5.25,44,0.26,11.9,35.6,18.5,20,1,21,3,69.17,0,0,258.9,0,0,0,86.9,342.4,688.2
21-05,nirpo,T6,Qsg,R,HCP1,c,M1,moist tundra,5,0.57271964,0.57271964,0.39,45.4,53.6,58,0,0,0,0,46,0.28,10.7,29,13,10,4,3,22,59,29,160,106.3,0,7.4,64.8,291.1,265.3,923.9
21-06,nirpo,T6,Qsg,R,HCP1,c,M1,moist tundra,5,0.56335802,0.56335802,0.2,48,48.8,52.75,0,0,0,0,16,0.19,2.7,14.6,7,5,2,10,25,51,9.3,183.8,57,6.5,8.3,55,105.2,594.2,1019.3
21-07,nirpo,T6,Qsg,R,HCP1,c,M3,moist tundra,6,0.61528899,0.61528899,0.96,40.2,48.4,53.75,0,0,0,0,47,0.21,9.8,21.4,16.5,10,2,8,12,49.7,86.4,8,428.3,0,8.1,0,216,249.8,996.6
21-08,nirpo,T6,Qsg,R,TP2,c,M3t,moist tundra,6,0.56265125,0.56265125,0.86,42.4,47.8,51.5,0,0,0,0,42,0.24,9.4,35.8,16.5,8,3,20,15,39.67,311.2,24.8,215.6,0,10,0,183.2,130.6,875.4
21-09,nirpo,T6,Qsg,R,TP2,c,M3t,moist tundra,6,0.51785895,0.51785895,0.43,48.2,52.8,54.75,0,0,0,0,40,0.3,10.6,29.4,11.8,12,2,16,16,30.56,153.2,99.5,238.7,1.1,14.3,0,369.2,211.2,1087.2
21-10,nirpo,T6,Qsg,R,TP2,r,M1,moist tundra,5,0.55621572,0.55621572,0.4,43.8,43.6,50.25,0,0,0,0,22,0.19,4.2,30.2,7.5,12,3,17,19,30.94,7.2,279.5,118.1,0.3,1.1,53.1,498.6,739.3,1697.2
