Plot ID,Vegetation type code,Microrelief,Habitat type code,Field name (description) of plant community
21-01,M2,F,5.06.1.2,"Wet Eriophorum angustifolium, Carex aquatilis, Drepanocladus brevifolius graminoid, moss tundra"
21-02,M2,F,5.06.1.2,"Wet Carex aquatilis, Drepanocladus brevifolius graminoid, moss tundra"
21-03,M4,F,5.06.1.2,"Wet Eriophorum angustifolium, Scorpidium scorpioides graminoid, moss tundra"
21-04,M4,F,5.06.1.2,"Wet Eriophorum angustifolium, Scorpidium scorpioides graminoid, moss tundra"
21-05,U3,HC,1.02.2,"Moist Eriophorum triste, Dryas integrifolium, Tomentypnum nitens, Thamnolia  subuliformis graminoid, prostrate dwarf-shrub, moss, lichen tundra"
21-06,U3,HC,1.02.2,"Moist Eriophorum triste, Dryas integrifolium, Tomentypnum nitens, Thamnolia  subuliformis graminoid, prostrate dwarf-shrub, moss, lichen tundra"
21-07,U4,HC,1.02.2,"Moist Eriophorum triste, Dryas integrifolium, Tomentypnum nitens, graminoid, prostrate dwarf-shrub, moss tundra"
21-08,U4,HC,1.02.2,"Moist Eriophorum triste, Salix lanata, Drepanocladus brevifolius, graminoid, dwarf-shrub, moss tundra"
21-09,U4,HC,1.02.2,"Moist Eriophorum triste, Salix lanata, Tomentypnum nitesns, graminoid, dwarf-shrub, moss tundra"
21-10,U3,HC,NA,"Moist Eriophorum triste, Dryas integrifolium, Tomentypnum nitens, Thamnolia  subuliformis graminoid, prostrate dwarf-shrub, moss, lichen tundra"
21-11,M2,T,5.06.1.2,"Wet Eriophorum angustifolium, Salix arctica, Drepanocladus brevifolius sedge, moss tundra"
21-12,U4,T,1.02.2,"Moist Eriophorum triste, Salix lanata, Hamatocaulis vernicosus, graminoid, dwarf-shrub, moss tundra"
21-13,U4,T,5.06.1.2,"Moist Eriophorum angustifolium, Carex membranacea, Salix arctica, Drepanocladus brevifolius sedge, moss tundra"
21-14,M2,T,5.06.1.2,"Wet Eriophorum angustifolium, Dupontia fisheri, Drepanocladus brevifolius graminoid, moss tundra"
21-15,U4,T,1.02.2,"Moist Eriophorum triste, Salix arctica, Tomentypnum nitens, graminoid, dwarf-shrub, moss tundra"
21-16,M2,T,5.06.1.2,"Wet Eriophorum angustifolium, Salix arctica,  Drepanocladus brevifolius graminoid, moss tundra"
21-17,U4,S,1.02.2,"Moist Carex aquatilis, Eriophorum triste, Salix arctica, Tomentypnum nitens  graminoid, dwarf-shrub, moss tundra"
21-18,U4,S,1.02.2,"Moist Carex aquatilis, Eriophorum triste, Dryas integrifolia, Drepanocladus brevifolius  graminoid, dwarf-shrub, moss tundra"
