Field name,Accepted name,Taxon code,Plant growth form
Abietinella abietina,Abietinella abietina (Hedw.) Fleisch.,ABIABI,Pleurocarpous moss
Aneura pinguis,Aneura pinguis (L.) Dumort.,ANEPIN,Thalloid liverwort
Arctagrostis latifolia,Arctagrostis latifolia (R. Br.) Griseb.,ARCLAT,Grass
Aulacomnium palustre,Aulacomnium palustre (Hedw.) Schwaegr.,AULPAL,Pleurocarpous moss
Blepharostoma trichophyllum,Blepharostoma trichophyllum (Linn.) Dumortier,BLETRI,Leafy liverwort
Brachythecium sp.,Brachythecium sp.,BRACSP,Pleurocarpous moss
Bryum pseudotriquetrum,"Bryum pseudotriquetrum (Hedw.) P.G. Gaertn., B. Mey. & Scherb.",BRYPSE,Acrocarpous moss
Bryum sp.,Bryum sp.,BRYUSP,Acrocarpous moss
Calliergon giganteum,Calliergon giganteum (Schimp.) Kindb.,CALGIG,Pleurocarpous moss
Calliergon richardsonii,Calliergon richardsonii (Mitt.) Kindb.,CALRIC,Pleurocarpous moss
Calliergon sp.,Calliergon sp.,CALISP,Pleurocarpous moss
Campylium sp.,Campylium sp.,CAMPSP,Pleurocarpous moss
Campylium stellatum,Campylium stellatum (Hedw.) C. Jens.,CAMSTE,Pleurocarpous moss
Cardamine digitata,Cardamine digitata Richardson,CARDIG,Low erect forb
Carex aquatilis,Carex aquatilis Wahlenb.,CARAQU,Wet to moist nontussock sedge
Carex atrofusca,Carex atrofusca Schkuhr,CARATR,Wet to moist nontussock sedge
Carex bigelowii,Carex bigelowii Torr.,CARBIG,Wet to moist nontussock sedge
Carex marina,Carex marina Dewey,CARHEL,Wet to moist nontussock sedge
Carex membranacea,Carex membranacea Hook.,CARMEM,Wet to moist nontussock sedge
Carex rotundata,Carex rotundata Wahlenb.,CARROT,Wet to moist nontussock sedge
Carex saxatilis ssp. laxa,Carex saxatilis L.,CARSAX,Wet to moist nontussock sedge
Carex scirpoidea,Carex scirpoidea Michx.,CARSCI,Wet to moist nontussock sedge
Carex sp.,Carex sp.,CARESP,Sedge
Cassiope tetragona,Cassiope tetragona (L.) D. Don,CASTET,Evergreen and summer green dwarf shrub
Catoscopium nigritum,Catoscopium nigritum (Hedw.) Brid.,CATNIG,Acrocarpous moss
Cetraria islandica,Cetraria islandica (L.) Ach.,CETISL,Fruticose lichen
Cetraria laevigata,Cetraria laevigata Rass.,CETLAE,Fruticose lichen
