Taxon,21-01,21-02,21-03,21-04,21-05,21-06,21-07,21-08,21-09,21-10,21-11,21-12,21-13,21-14,21-15,21-16,21-17,21-18,21-19,21-20,21-21,21-22,21-23,21-24,21-25,21-26,21-27,21-28,21-29,21-30,21-31,21-32,21-33,21-34,21-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abietinella abietina,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneura pinguis,+,0,0,0,0,0,0,r,0,0,+,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,+,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctagrostis latifolia,0,0,0,0,+,1,0,0,0,+,0,0,0,+,+,+,0,0,0,1,+,+,0,+,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulacomnium palustre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blepharostoma trichophyllum,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachythecium sp.,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryum pseudotriquetrum,0,0,0,0,0,0,0,0,0,0,+,+,0,0,1,0,0,+,0,0,0,0,0,+,0,0,1,0,+,+,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryum sp.,0,0,0,0,0,0,0,0,+,0,0,0,0,0,r,0,0,0,0,0,0,0,+,+,0,0,+,0,0,0,0,+,+,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calliergon giganteum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calliergon richardsonii,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,+,0,0,0,0,0,+,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calliergon sp.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campylium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campylium stellatum,0,0,0,0,0,0,0,0,+,0,1,1,0,1,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine digitata,0,0,0,0,r,r,0,0,0,+,0,0,0,0,+,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
